,Word,New POS,Frequency
1147,disagreed,Verb,1
1133,dealing,Verb,1
1209,talk,Noun,1
931,poisoned,Verb,1
912,beautiful,Adjective,1
930,care,Verb,1
900,explain,Verb,1
876,boat,Noun,1
877,happensthe,Verb,1
929,article,Noun,1
878,waswe,Verb,1
913,hotel,Noun,1
881,fought,Verb,1
1203,shot,Adjective,1
882,palm,Noun,1
928,wrote,Verb,1
1134,like,Noun,1
927,amazing,Verb,1
1142,heard,Noun,1
883,beach,Noun,1
884,moneythe,Noun,1
908,except,Other,1
1095,a,Noun,1
951,crookedshesshes,Noun,1
952,guilty,Adjective,1
1188,great,Noun,1
1105,le,Adjective,1
1059,bundle,Noun,1
1060,stage,Noun,1
1061,havehe,Verb,1
1062,backingwere,Adverb,1
1186,make,Noun,1
1063,backing,Verb,1
1065,ifand,Verb,1
1066,russia,Verb,1
1104,leadership,Noun,1
1185,called,Verb,1
1103,stupid,Adjective,1
1067,iran,Verb,1
1184,doesnt,Noun,1
1068,overthrow,Verb,1
1102,wayand,Noun,1
1070,withas,Adjective,1
1071,he,Verb,1
1057,150,Other,1
1189,again,Noun,1
1106,zero,Other,1
1190,depleted,Verb,1
1043,humanitarian,Adjective,1
1044,nightmare,Noun,1
1045,thefrom,Other,1
1115,lose,Verb,1
1114,raided,Verb,1
1192,helped,Verb,1
1111,asking,Verb,1
1191,military,Noun,1
1047,signed,Adjective,1
1056,also,Adverb,1
1048,document,Noun,1
1110,bother,Verb,1
1050,oh,Other,1
1051,sheshes,Verb,1
1109,5,Other,1
1053,everyone,Noun,1
1054,hehe,Noun,1
1108,higher,Adjective,1
1072,guy,Noun,1
1183,control,Verb,1
1182,raising,Verb,1
1091,sheshe,Noun,1
1087,happens,Verb,1
1173,worse,Adverb,1
1098,land,Noun,1
1172,least,Adjective,1
1088,luck,Adjective,1
1089,thanks,Noun,1
1166,60,Other,1
1090,ridiculous,Adjective,1
1092,defeat,Verb,1
1085,trojan,Noun,1
1093,havewait,Verb,1
1097,swatch,Noun,1
1096,vast,Adjective,1
1171,startedat,Verb,1
1170,glad,Verb,1
1169,next,Adjective,1
1168,80,Other,1
1167,70,Other,1
1086,horse,Noun,1
1099,anymore,Noun,1
1181,disagrees,Verb,1
1077,syrian,Adjective,1
1180,nasty,Adjective,1
1073,may,Other,1
855,kill,Verb,1
1179,price,Noun,1
1074,wed,Noun,1
1075,shape,Noun,1
1076,ten,Noun,1
1178,expensive,Adjective,1
1101,assume,Verb,1
1084,seethis,Verb,1
1078,refugee,Noun,1
1177,most,Adverb,1
1079,casesnot,Noun,1
1175,health,Noun,1
1080,definitely,Adverb,1
1081,isisaligned,Verb,1
1100,ceasefires,Noun,1
1174,bad,Noun,1
1116,athe,Adjective,1
1041,slaughtered,Verb,1
1039,hasnt,Verb,1
984,stay,Verb,1
978,douglas,Noun,1
979,macarthur,Noun,1
1201,too,Adverb,1
980,patton,Noun,1
1200,justice,Adverb,1
981,spinning,Verb,1
982,graf,Noun,1
983,stupidity,Noun,1
987,reason,Noun,1
976,abouthow,Noun,1
988,running,Verb,1
989,office,Noun,1
990,tough,Adjective,1
991,violated,Verb,1
992,red,Adjective,1
993,sand,Noun,1
1123,use,Adverb,1
995,wayif,Noun,1
977,long,Adverb,1
975,announce,Verb,1
1000,death,Noun,1
961,arizona,Noun,1
953,crime,Noun,1
954,rigged,Noun,1
955,suspense,Noun,1
956,gotten,Verb,1
957,attorney,Noun,1
958,back,Noun,1
959,airplane,Noun,1
960,tarmac,Noun,1
1128,negotiator,Noun,1
972,whatever,Other,1
962,disgraceful,Adjective,1
963,weve,Adjective,1
964,situation,Noun,1
1127,peoplethese,Noun,1
1126,must,Other,1
968,felt,Verb,1
969,ago,Other,1
971,attack,Verb,1
999,dangerous,Adjective,1
1001,smart,Adjective,1
1038,aleppo,Verb,1
1162,own,Adjective,1
1161,die,Verb,1
1024,unfit,Noun,1
1193,fixed,Verb,1
1025,wikileaks,Verb,1
1026,outjohn,Adjective,1
1119,sloppy,Adjective,1
1118,used,Verb,1
1117,industry,Noun,1
1028,beauty,Noun,1
1022,wouldve,Verb,1
1163,weight,Noun,1
1032,wantedthe,Verb,1
1033,leaderstheyre,Noun,1
1034,john,Noun,1
1164,itsthe,Noun,1
1035,instinct,Noun,1
1036,both,Other,1
1037,catastrophe,Noun,1
1160,replacenow,Verb,1
1020,point,Noun,1
1002,wonderful,Adjective,1
1199,order,Noun,1
1006,stupidthe,Adjective,1
1007,stupidest,Adjective,1
1158,cost,Verb,1
1009,theyve,Adverb,1
1010,forever,Adverb,1
1011,easy,Adjective,1
1012,who,Adverb,1
1013,beneficiary,Adjective,1
1198,disrespected,Verb,1
1194,earth,Noun,1
1014,oh,Noun,1
1197,policeman,Noun,1
1016,makingi,Adjective,1
1159,repeal,Adjective,1
1196,immigrant,Noun,1
1017,mean,Noun,1
1195,illegal,Adjective,1
1018,outsmartinglook,Adjective,1
856,treat,Adjective,1
605,doubled,Verb,1
854,building,Noun,1
296,16500plus,Other,1
360,hombre,Noun,1
367,very,Noun,1
369,man,Noun,1
371,better,Adverb,1
380,fought,Noun,1
381,2006,Other,1
382,thereabouts,Noun,1
385,naturally,Adverb,1
386,wasnt,Noun,1
389,haveand,Noun,1
390,wellwell,Noun,1
400,moving,Verb,1
401,movingwe,Verb,1
402,either,Adverb,1
404,either,Verb,1
407,citizen,Adjective,1
408,speed,Verb,1
409,process,Noun,1
410,inefficient,Adjective,1
358,date,Noun,1
357,later,Adjective,1
355,secured,Verb,1
328,pouring,Noun,1
306,tougher,Adverb,1
311,hampshire,Noun,1
313,complaint,Noun,1
314,haveits,Verb,1
322,problemsthe,Noun,1
324,heroin,Other,1
325,pours,Verb,1
327,southern,Adjective,1
331,poisoning,Verb,1
353,secure,Verb,1
332,blood,Noun,1
333,plenty,Noun,1
335,areright,Verb,1
337,theyre,Other,1
339,absolutewe,Noun,1
343,shore,Verb,1
347,lord,Verb,1
349,oneswe,Noun,1
414,becomes,Verb,1
417,say,Noun,1
419,pivot,Noun,1
510,government,Noun,1
